Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
15841200000	-1.30E+00	-2.93E+01	4.62E+00	1.66E+02	-3.63E+01	7.96E+01	3.69E+01	1.23E+02				
15931150000	-1.32E+00	-3.38E+01	2.91E+00	1.45E+02	-3.78E+01	1.00E+02	3.30E+01	1.46E+02				
16021100000	-1.03E+00	-4.05E+01	1.08E+00	9.97E+01	-4.71E+01	-9.26E+01	3.64E+01	1.20E+02				
16111050000	-9.09E-01	-4.49E+01	7.36E-01	7.98E+01	-5.34E+01	-1.19E+02	3.56E+01	1.47E+02				
16201000000	-1.14E+00	-5.19E+01	-3.70E+00	5.66E+01	-3.94E+01	-1.22E+02	3.66E+01	1.18E+02				
16290950000	-1.21E+00	-5.59E+01	-1.94E+00	5.95E+01	-3.91E+01	-5.97E+01	3.78E+01	1.42E+02				
16380900000	-1.17E+00	-6.15E+01	-2.44E+00	4.28E+01	-4.45E+01	1.63E+01	3.64E+01	1.18E+02				
16470850000	-1.01E+00	-6.87E+01	-2.40E+00	-1.91E+00	-4.74E+01	7.86E+01	3.92E+01	1.33E+02				
16560800000	-9.79E-01	-7.44E+01	-1.40E+00	-5.18E+01	-3.86E+01	-1.65E+02	3.66E+01	1.22E+02				
16650750000	-1.09E+00	-7.79E+01	-3.06E+00	-7.42E+01	-3.78E+01	-1.44E+02	4.01E+01	1.25E+02				
16740700000	-8.99E-01	-8.39E+01	-8.91E+00	-8.23E+01	-4.17E+01	-4.13E+01	3.74E+01	1.25E+02				
16830650000	-9.83E-01	-8.97E+01	-8.35E+00	-9.70E+01	-4.08E+01	-9.71E+01	4.03E+01	1.18E+02				
16920600000	-9.15E-01	-9.33E+01	-6.20E+00	-1.01E+02	-3.87E+01	3.84E+01	3.85E+01	1.24E+02				
17010550000	-1.19E+00	-1.00E+02	-6.04E+00	-1.46E+02	-5.39E+01	6.50E+01	4.04E+01	1.12E+02				
17100500000	-8.21E-01	-1.04E+02	-6.30E+00	-1.58E+02	-4.59E+01	1.08E+00	3.92E+01	1.22E+02				
17190450000	-7.87E-01	-1.12E+02	-1.34E+01	1.05E+02	-3.78E+01	6.19E+01	4.04E+01	1.04E+02				
17280400000	-7.94E-01	-1.18E+02	-9.28E+00	1.45E+02	-4.40E+01	-6.35E+01	4.02E+01	1.18E+02				
17370350000	-5.96E-01	-1.24E+02	-3.97E+00	1.36E+02	-4.27E+01	-1.14E+02	3.98E+01	9.85E+01				
17460300000	-4.56E-01	-1.27E+02	-8.30E+00	9.48E+01	-5.68E+01	5.32E+01	4.08E+01	1.11E+02				
17550250000	-7.48E-01	-1.36E+02	-1.83E+01	1.38E+02	-4.02E+01	9.72E+01	3.91E+01	9.58E+01				
17640200000	-6.02E-01	-1.37E+02	-7.80E+00	5.81E+01	-3.63E+01	1.69E+02	4.10E+01	1.04E+02				
17730150000	-7.91E-01	-1.45E+02	-1.16E+01	-2.35E+01	-3.85E+01	5.80E+01	3.83E+01	9.64E+01				
17820100000	-3.82E-01	-1.51E+02	-1.94E+01	1.16E+01	-4.81E+01	-1.64E+02	4.10E+01	9.64E+01				
17910050000	-9.53E-01	-1.57E+02	-7.82E+00	-4.18E+01	-3.68E+01	1.36E+02	3.80E+01	9.97E+01				
18000000000	-6.49E-01	-1.56E+02	-5.75E+00	1.34E+01	-3.35E+01	1.94E+01	4.05E+01	8.91E+01				
